candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"durazno:centro-de-cuidados-amelia:address-missing","Centro de Cuidados Amelia","Durazno","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"durazno:hogar-los-abuelos:address-missing","Hogar Los Abuelos","Durazno","","B","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"durazno:la-aurora:zorrilla-545","La Aurora","Durazno","Zorrilla 545, casi Rubino","C","needs_more_evidence","needs_more_evidence","EXC-OFFICIAL-ELP-0042","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"durazno:residencial-tu-hogar:25-de-agosto-935","Residencial Tu Hogar","Durazno","25 de Agosto 935, entre Artigas y Baltasar Brum","B","possible_move_or_rebrand","needs_more_evidence","EXC-OFFICIAL-ELP-0153","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"durazno:dona-ines-el-bienestar:18-de-julio-540","Residencial Doña Inés / El Bienestar Hogar Durazno","Durazno","18 de Julio 540, esquina Zorrilla","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"durazno:sagrada-familia-hipodromo:sagrado-corazon","Residencial Sagrada Familia Hipódromo","Durazno","Calle pública, frente al 1100 de la pista del Hipódromo","B","possible_move_or_rebrand","needs_more_evidence","EXC-OFFICIAL-ELP-0161","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"durazno:hogar-de-ancianos:maciel-505-osm","Hogar de Ancianos — pista OSM Maciel 505","Durazno","Francisco Antonio Maciel 505","C","probable_new","needs_more_evidence","EXC-OFFICIAL-ELP-0149","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
