candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
public-web:artigas-city:residencial-oasis,Residencial Oasis,Artigas,"Sarandí 538, entre Rincón y Treinta y Tres",C,probable_new,needs_more_evidence,true,,public_social_sources,3,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas-city:residencial-fenix,Residencial Fénix,Artigas,Paraguay 440,C,probable_new,needs_more_evidence,true,,public_social_sources,3,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas-city:residencial-dulce-hogar,Residencial Dulce Hogar,Artigas,Manuel Oribe 374,C,probable_new,needs_more_evidence,true,,public_social_sources|other_public_sources,3,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas-city:residencial-aurora,Residencial Aurora,Artigas,Esquina Bernabé Rivera y Diego Lamas,C,probable_new,needs_more_evidence,true,,public_social_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas-city:residencial-anos-dorados,Residencial Años Dorados,Artigas,"Pasaje A 125, entre Misiones y Sarandí",C,probable_new,needs_more_evidence,true,,public_social_sources,3,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas-city:hogar-de-ancianos-artigas,Hogar de Ancianos de Artigas,Artigas,Carlos María Ramírez s/n,B,probable_new,verified_new,false,,official_sources|public_social_sources,4,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas:baltasar-brum:hogar-don-martin,Hogar Don Martín,Baltasar Brum,Nelson Cousin s/n,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0002,official_sources|public_social_sources,4,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas:bella-union-cuareim:hogar-elida-moreira,Hogar del Adulto Mayor Élida Moreira de Zambiazo,Bella Unión,"Calle 10 s/n, Cuareim",A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0001,official_sources|public_social_sources,5,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
public-web:artigas-city:residencial-tulipanes-historical,Residencial Tulipanes,Artigas,Aparicio Saravia 125,C,possible_move_or_rebrand,needs_more_evidence,true,,public_social_sources|other_public_sources,3,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:58:33.470Z
