candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"public-web:artigas-city:residencial-oasis","Residencial Oasis","Artigas","Sarandí 538, entre Rincón y Treinta y Tres","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"public-web:artigas-city:residencial-fenix","Residencial Fénix","Artigas","Paraguay 440","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"public-web:artigas-city:residencial-dulce-hogar","Residencial Dulce Hogar","Artigas","Manuel Oribe 374","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"public-web:artigas-city:residencial-aurora","Residencial Aurora","Artigas","Esquina Bernabé Rivera y Diego Lamas","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"public-web:artigas-city:residencial-anos-dorados","Residencial Años Dorados","Artigas","Pasaje A 125, entre Misiones y Sarandí","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"public-web:artigas:baltasar-brum:hogar-don-martin","Hogar Don Martín","Baltasar Brum","Nelson Cousin s/n","A","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0002","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"public-web:artigas:bella-union-cuareim:hogar-elida-moreira","Hogar del Adulto Mayor Élida Moreira de Zambiazo","Bella Unión","Calle 10 s/n, Cuareim","A","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0001","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"public-web:artigas-city:residencial-tulipanes-historical","Residencial Tulipanes","Artigas","Aparicio Saravia 125","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
